,0
0,Colorado
1,Connecticut
2,Delaware
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,Nevada
17,New Hampshire
18,New Mexico
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Utah
29,Vermont
30,Virginia
31,West Virginia
32,Wisconsin
33,Wyoming
